Gen3
¿Quién es Treecko?,"Es un Pokémon de tipo planta, número 252. Evoluciona en Grovyle y luego en Sceptile. Trepa árboles con agilidad y es muy valiente."
¿Quién es Grovyle?,"Es un Pokémon de tipo planta, número 253. Evoluciona de Treecko y evoluciona en Sceptile. Salta ágilmente entre las ramas del bosque."
¿Quién es Sceptile?,"Es un Pokémon de tipo planta, número 254. Evoluciona de Grovyle. Su cola afilada es tan dura como una cuchilla."
¿Quién es Torchic?,"Es un Pokémon de tipo fuego, número 255. Evoluciona en Combusken y luego en Blaziken. Guarda una llama viva en su interior."
¿Quién es Combusken?,"Es un Pokémon de tipo fuego y lucha, número 256. Evoluciona de Torchic y evoluciona en Blaziken. Lanza patadas ardientes a gran velocidad."
¿Quién es Blaziken?,"Es un Pokémon de tipo fuego y lucha, número 257. Evoluciona de Combusken. Sus patas pueden derretir rocas con sus patadas."
¿Quién es Mudkip?,"Es un Pokémon de tipo agua, número 258. Evoluciona en Marshtomp y luego en Swampert. Usa su aleta para detectar cambios en el agua."
¿Quién es Marshtomp?,"Es un Pokémon de tipo agua y tierra, número 259. Evoluciona de Mudkip y evoluciona en Swampert. Puede caminar sobre el lodo sin hundirse."
¿Quién es Swampert?,"Es un Pokémon de tipo agua y tierra, número 260. Evoluciona de Marshtomp. Tiene una fuerza descomunal y predice tormentas."
¿Quién es Poochyena?,"Es un Pokémon de tipo siniestro, número 261. Evoluciona en Mightyena. Persigue a sus presas sin detenerse."
¿Quién es Mightyena?,"Es un Pokémon de tipo siniestro, número 262. Evoluciona de Poochyena. Obedece fielmente a su entrenador como si fuera parte de una manada."
¿Quién es Zigzagoon?,"Es un Pokémon de tipo normal, número 263. Evoluciona en Linoone. Se mueve en zigzag para confundir a sus enemigos."
¿Quién es Linoone?,"Es un Pokémon de tipo normal, número 264. Evoluciona de Zigzagoon. Corre en línea recta a gran velocidad para embestir."
¿Quién es Wurmple?,"Es un Pokémon de tipo bicho, número 265. Evoluciona en Silcoon o Cascoon. Usa su aguijón para defenderse."
¿Quién es Silcoon?,"Es un Pokémon de tipo bicho, número 266. Evoluciona de Wurmple y evoluciona en Beautifly. Se oculta y endurece su cuerpo esperando evolucionar."
¿Quién es Beautifly?,"Es un Pokémon de tipo bicho y volador, número 267. Evoluciona de Silcoon. Se alimenta del néctar de las flores con su probóscide."
