pokemon
¿quién es pikachu?,#025 Pikachu es un Pokémon de tipo eléctrico conocido por ser el compañero de Ash.
¿quién es charizard?,#006 Charizard es un Pokémon de tipo fuego/volador que evoluciona de Charmeleon.
¿quién es bulbasaur?,#001 Bulbasaur es un Pokémon de tipo planta/veneno que es uno de los iniciales de Kanto.
¿quién es squirtle?,#007 Squirtle es un Pokémon de tipo agua que es uno de los iniciales de Kanto.
¿quién es mew?,#151 Mew es un Pokémon legendario de tipo psíquico.
¿quién es mewtwo?,#150 Mewtwo es un Pokémon legendario creado a partir del ADN de Mew.
¿quién es eevee?,#133 Eevee es un Pokémon que puede evolucionar en múltiples formas.
¿quién es jigglypuff?,#039 Jigglypuff es un Pokémon de tipo normal/hada conocido por su canto.
¿quién es snorlax?,#143 Snorlax es un Pokémon de tipo normal conocido por dormir mucho.
¿quién es gengar?,#094 Gengar es un Pokémon de tipo fantasma/veneno conocido por su sonrisa siniestra.
¿quién es dragonite?,#149 Dragonite es un Pokémon de tipo dragón/volador conocido por su amabilidad.
¿quién es lapras?,#131 Lapras es un Pokémon de tipo agua/hielo conocido por transportar personas.
¿quién es ditto?,#132 Ditto es un Pokémon que puede transformarse en cualquier otro Pokémon.
¿quién es magikarp?,#129 Magikarp es un Pokémon de tipo agua conocido por ser débil pero evolucionar en Gyarados.
¿quién es gyarados?,#130 Gyarados es un Pokémon de tipo agua/volador conocido por su ferocidad.
¿quién es arcanine?,#059 Arcanine es un Pokémon de tipo fuego conocido por su velocidad.
¿quién es alakazam?,#065 Alakazam es un Pokémon de tipo psíquico conocido por su inteligencia.
¿quién es machamp?,#068 Machamp es un Pokémon de tipo lucha conocido por sus cuatro brazos.
¿quién es golem?,#076 Golem es un Pokémon de tipo roca/tierra conocido por su dureza.
¿quién es rhydon?,#112 Rhydon es un Pokémon de tipo roca/tierra conocido por su cuerno perforador.
¿quién es articuno?,#144 Articuno es un Pokémon legendario de tipo hielo/volador.
¿quién es zapdos?,#145 Zapdos es un Pokémon legendario de tipo eléctrico/volador.
¿quién es moltres?,#146 Moltres es un Pokémon legendario de tipo fuego/volador.
¿quién es lugia?,#249 Lugia es un Pokémon legendario de tipo psíquico/volador conocido como el guardián de los mares.
¿quién es ho-oh?,#250 Ho-Oh es un Pokémon legendario de tipo fuego/volador conocido como el guardián del arco iris.
¿quién es celebi?,#251 Celebi es un Pokémon legendario de tipo psíquico/planta conocido como el guardián del bosque.
¿quién es treecko?,#252 Treecko es un Pokémon inicial de tipo planta de la región Hoenn.
¿quién es torchic?,#255 Torchic es un Pokémon inicial de tipo fuego de la región Hoenn.
¿quién es mudkip?,#258 Mudkip es un Pokémon inicial de tipo agua de la región Hoenn.
¿quién es ralts?,#280 Ralts es un Pokémon de tipo psíquico/hada conocido por sentir emociones.
¿quién es gardevoir?,#282 Gardevoir es un Pokémon de tipo psíquico/hada conocido por proteger a su entrenador.
¿quién es gallade?,#475 Gallade es un Pokémon de tipo psíquico/lucha conocido por su elegancia.
¿quién es absol?,#359 Absol es un Pokémon de tipo siniestro conocido como el heraldo de desastres.
¿quién es bagon?,#371 Bagon es un Pokémon de tipo dragón que sueña con volar.
¿quién es salamence?,#373 Salamence es un Pokémon de tipo dragón/volador que evoluciona de Shelgon.
¿quién es metagross?,#376 Metagross es un Pokémon de tipo acero/psíquico conocido por su inteligencia.
¿quién es latias?,#380 Latias es un Pokémon legendario de tipo dragón/psíquico.
¿quién es latios?,#381 Latios es un Pokémon legendario de tipo dragón/psíquico.
¿quién es kyogre?,#382 Kyogre es un Pokémon legendario de tipo agua conocido por expandir los océanos.
¿quién es groudon?,#383 Groudon es un Pokémon legendario de tipo tierra conocido por expandir la tierra.
¿quién es rayquaza?,#384 Rayquaza es un Pokémon legendario de tipo dragón/volador conocido por calmar a Kyogre y Groudon.
¿quién es jirachi?,#385 Jirachi es un Pokémon legendario de tipo acero/psíquico conocido por conceder deseos.
¿quién es deoxys?,#386 Deoxys es un Pokémon legendario de tipo psíquico conocido por cambiar de forma.
